id,type,parent_site,name_en,name_ar,in_maan_governorate,lat,lon,group,source_url,flags,notes,description_en,description_ar,avg_visit_minutes,accessibility_notes,image_url,image_license,image_attribution,content_flags
PET-WMD,landmark,PET,Wadi al-Mudhlim (Nabataean Dam & Tunnel),وادي المذلم,yes,30.3235419,35.460945,C,https://www.openstreetmap.org/way/488821487 | https://en.wikipedia.org/wiki/Petra,needs_name_ar,the file is confirmed to exist via the Commons API. Re-run validate_data.py --check-images to confirm.,"A narrow gorge north of the Siq, used as an alternative and far quieter approach into Petra. It is a piece of Nabataean flood engineering rather than a monument: the Nabataeans controlled the flash floods that funnel through this area with dams, cisterns and cut water conduits, diverting the flow away from the main entrance and storing it against drought — the water control that made the desert city possible.",مضيق ضيق يقع شمال السيق، ويُستخدم كمدخل بديل وأكثر هدوءاً إلى البتراء. وهو قطعة من الهندسة النبطية للسيول أكثر منه معلماً أثرياً: فقد تحكّم الأنباط في السيول المفاجئة التي تتجمع في هذه المنطقة بواسطة السدود والصهاريج وقنوات المياه المنحوتة، فحوّلوا مسارها بعيداً عن المدخل الرئيسي وخزّنوها لمواجهة الجفاف، وهو التحكم بالمياه الذي جعل قيام المدينة الصحراوية ممكناً.,60,"A narrow unpaved gorge route with boulders and scrambling sections, subject to closure in flood risk; not accessible, and not to be entered alone.",https://commons.wikimedia.org/wiki/Special:FilePath/Petra_Wadi_Muthlim_2110.jpg,CC BY-SA 4.0,"Photo by Dosseman, CC BY-SA 4.0, via Wikimedia Commons",
PET-QAB,landmark,PET,Qasr al-Bint,قصر البنت,yes,30.3294833,35.4401292,C,https://www.openstreetmap.org/way/115512688 | https://en.wikipedia.org/wiki/Qasr_al-Bint,,the file is confirmed to exist via the Commons API. Re-run validate_data.py --check-images to confirm.,"A Nabataean temple at the western end of the Colonnaded Street, facing Wadi Musa and standing near the monumental gate. It is one of the best-preserved free-standing buildings left in Petra — most of the city's surviving architecture is rock-cut — and was a principal focus of worship in the city centre.",معبد نبطي يقع في الطرف الغربي من شارع الأعمدة، يواجه وادي موسى ويقوم قرب البوابة المونومنتالية. وهو من أفضل المباني القائمة بذاتها حفظاً في البتراء، إذ إن معظم عمارة المدينة الباقية منحوتة في الصخر، وكان محوراً رئيسياً للعبادة في وسط المدينة.,25,"Stands on the relatively level valley floor at the end of the Colonnaded Street; the approach is among the most accessible in the park, with a compacted surface.",https://commons.wikimedia.org/wiki/Special:FilePath/Qasr_al-Bint_%28Petra%29_01.jpg,CC BY-SA 4.0,"Photo by Davide Mauro, CC BY-SA 4.0, via Wikimedia Commons",
PET-TWL,landmark,PET,Temple of the Winged Lions,معبد الأسود المجنحة,yes,30.3300823,35.4424319,C,https://www.openstreetmap.org/way/115512690 | https://en.wikipedia.org/wiki/Temple_of_the_Winged_Lions | https://en.wikipedia.org/wiki/Nabataean_architecture,,the file is confirmed to exist via the Commons API. Re-run validate_data.py --check-images to confirm.,"A large temple complex in Petra's Sacred Quarter, on the north bank of Wadi Musa directly opposite Qasr al-Bint, dated to the reign of Aretas IV between 9 BC and AD 40. It is thought to have been dedicated to the principal Nabataean goddess, though which goddess is not settled. The building was brought down by the earthquake of AD 363, and inscriptions found in it record how temple revenue and ritual were administered.",مجمّع معبد كبير في الحي المقدس بالبتراء، يقع على الضفة الشمالية لوادي موسى مقابل قصر البنت مباشرة، ويعود إلى عهد الحارث الرابع بين عام 9 قبل الميلاد وعام 40 ميلادي. ويُعتقد أنه كان مكرّساً لكبرى الإلهات النبطيات، وإن لم تُحدَّد هويتها بشكل قاطع. وقد دُمِّر المبنى في زلزال عام 363 ميلادي، وتسجّل النقوش التي عُثر عليها فيه كيف كانت تُدار إيرادات المعبد وشعائره.,20,"Excavated ruins reached from the valley floor; the site is fenced in places and the ground is uneven, so not wheelchair accessible.",https://commons.wikimedia.org/wiki/Special:FilePath/Petra_Temple_of_the_Winged_Lions_2321.jpg,CC BY-SA 4.0,"Photo by Dosseman, CC BY-SA 4.0, via Wikimedia Commons",
PET-CHU,landmark,PET,Petra Church,الكنيسة البيزنطية,yes,30.3306244,35.444369,C,https://www.openstreetmap.org/way/115515461 | https://en.wikipedia.org/wiki/Petra,,,"A Byzantine basilica on the ridge north of the Colonnaded Street, and the clearest surviving example of monumental Christian architecture in Petra. Excavation by the American Center of Research between 1990 and 1998 recovered 140 carbonised papyri — mostly contracts dated between the 530s and 590s — which showed the city was still prosperous in the sixth century. Mosaic floors survive in the side aisles.",كنيسة بيزنطية تقع على المرتفع شمال شارع الأعمدة، وهي أوضح مثال باقٍ على العمارة المسيحية المونومنتالية في البتراء. كشفت أعمال التنقيب التي أجراها المركز الأمريكي للبحوث بين عامي 1990 و1998 عن 140 لفيفة بردية متفحمة، معظمها عقود تعود إلى ما بين ثلاثينيات وتسعينيات القرن السادس، وأثبتت أن المدينة كانت لا تزال مزدهرة في ذلك القرن. ولا تزال أرضيات الفسيفساء محفوظة في الأجنحة الجانبية.,20,"Reached by a stepped, uneven path up from the Colonnaded Street; not wheelchair accessible. The excavated floor area itself is level and partly shaded.",https://commons.wikimedia.org/wiki/Special:FilePath/Mosaic_Petra_Church_5.JPG,CC BY-SA 3.0,"Photo by Odilia, CC BY-SA 3.0, via Wikimedia Commons",
PET-RST,landmark,PET,Roman Soldier's Tomb,قبر الجندي الروماني,yes,30.3208234,35.4448873,C,https://www.openstreetmap.org/node/5167013933 | https://en.wikipedia.org/wiki/Tomb_of_the_Roman_Soldier | https://en.wikipedia.org/wiki/Nabataean_architecture,needs_name_ar,the file is confirmed to exist via the Commons API. Re-run validate_data.py --check-images to confirm.,"One of the best-preserved tombs in Petra, in the Wadi Farasa valley. Its facade is recognised by three carved figures set in niches between the columns, but the tomb is only part of a larger complex: a colonnaded courtyard, a separate triclinium, rock-cut rooms, the remains of two-storey buildings and several large cisterns. The main building phase falls in the third quarter of the first century AD.",أحد أفضل المدافن حفظاً في البتراء، ويقع في وادي الفراسة. تُعرَف واجهته بثلاثة تماثيل منحوتة في كوّات بين الأعمدة، لكن المدفن ليس إلا جزءاً من مجمّع أكبر يشمل ساحة محفوفة بالأعمدة، وتريكلينيوم منفصلاً، وغرفاً منحوتة في الصخر، وبقايا مبانٍ من طابقين، وعدداً من الصهاريج الكبيرة. وتعود مرحلة البناء الرئيسية إلى الربع الثالث من القرن الأول الميلادي.,20,"On the Wadi Farasa route, reached by an unpaved trail with rock steps and exposed drops; not suitable for reduced mobility.",https://commons.wikimedia.org/wiki/Special:FilePath/Petra_Soldier_Tomb_1895.jpg,CC BY-SA 4.0,"Photo by Dosseman, CC BY-SA 4.0, via Wikimedia Commons",
PET-GTM,landmark,PET,Garden Tomb,قبر الحدائق,yes,30.3204293,35.4454647,C,https://www.openstreetmap.org/node/2528846745 | https://commons.wikimedia.org/wiki/File%3APetra_Garden_Tomb_aka_Garden_Temple_1909.jpg,needs_name_ar,"No text source found; Wikipedia has no article and it is not described in the Petra or Nabataean architecture articles. A licensed image was found, so only the prose is missing. Try the Petra Archaeological Park map or excavation literature. Note it is distinct from the Garden Temple. the file is confirmed to exist via the Commons API. Re-run validate_data.py --check-images to confirm.; Description drawn from the Commons file-page description by the photographer (Dosseman), which is more specific than anything in Wikipedia; worth a second source before the pitch. Arabic name is a descriptive rendering, not an attested official name - flag for the Arabic pass.","A rock-cut facade on the Wadi Farasa route, called a tomb but more likely a temple: it has no burial niches. In front of it is a small courtyard that may once have been ringed by a peristyle, and the plain facade carries no pediment but two freestanding pillars, with two rock-cut rooms behind. It is a separate monument from the nearby Garden Temple, and the two names are often confused.",واجهة منحوتة في الصخر على مسار وادي الفراسة، تُسمّى قبراً لكن الأرجح أنها معبد، إذ لا تحتوي على كوّات للدفن. وأمامها ساحة صغيرة يُحتمل أنها كانت محفوفة بصف من الأعمدة، وواجهتها البسيطة بلا جمالون لكن يتقدّمها عمودان قائمان بذاتهما، ويقع خلفها غرفتان منحوتتان في الصخر. وهي معلم منفصل عن المعبد الحديقي القريب، وكثيراً ما يُخلط بين الاسمين.,15,"On the Wadi Farasa walking route, reached by an unpaved trail with rock steps; not accessible for reduced mobility.",https://commons.wikimedia.org/wiki/Special:FilePath/Petra_Garden_Tomb_aka_Garden_Temple_1909.jpg,CC BY-SA 4.0,"Photo by Dosseman, CC BY-SA 4.0, via Wikimedia Commons",
PET-OBT,landmark,PET,Obelisk Tomb,مقبرة المسلات,yes,30.3212234,35.4632816,C,https://www.openstreetmap.org/node/2437205290 | https://en.wikipedia.org/wiki/Nabataean_architecture,needs_name_ar,,"One of the best-known Nabataean funerary monuments, cut into the rock on the Bab as-Siq approach before the Siq itself. It is a single two-storey face: four tall obelisks stand above a classical-fronted triclinium, the dining chamber used for commemorative meals, so the tomb and the Bab as-Siq Triclinium are two halves of the same monument rather than separate sites.",أحد أشهر المعالم الجنائزية النبطية، منحوت في الصخر على طريق باب السيق قبل السيق نفسه. وهو واجهة واحدة من طابقين: أربع مسلات مرتفعة تعلو تريكلينيوم بواجهة كلاسيكية، وهو قاعة الطعام التي كانت تُقام فيها المآدب التذكارية. وبذلك فإن المقبرة وتريكلينيوم باب السيق نصفان من معلم واحد لا موقعان منفصلان.,15,"Visible from the flat graded track between the visitor centre and the Siq; viewing from the path is accessible, the facade itself sits above it.",https://commons.wikimedia.org/wiki/Special:FilePath/Obelisk_Tomb%2C_Petra%2C_Jordan1.jpg,CC BY-SA 3.0,"Photo by Diego Delso, CC BY-SA 3.0, via Wikimedia Commons",
PET-GRT,landmark,PET,Great Temple,المعبد الكبير,yes,30.3288133,35.4423492,C,https://www.openstreetmap.org/way/115512705 | https://en.wikipedia.org/wiki/Great_Temple_%28Petra%29 | https://en.wikipedia.org/wiki/Great_Temple_(Petra),,the file is confirmed to exist via the Commons API. Re-run validate_data.py --check-images to confirm.,"A monumental complex of roughly 7,560 square metres lying south of the Colonnaded Street, probably finished in the early first century AD under the Nabataean king Aretas IV. Brown University excavated it between 1993 and 2000. It is still unsettled whether the building was religious or administrative, and no deity has been securely attached to it.",مجمّع ضخم تبلغ مساحته نحو 7560 متراً مربعاً يقع جنوب شارع الأعمدة، ويُرجَّح أنه اكتمل في مطلع القرن الأول الميلادي في عهد الملك النبطي الحارث الرابع. وقد نقّبت فيه جامعة براون بين عامي 1993 و2000. ولم يُحسم بعد ما إذا كان المبنى دينياً أم إدارياً، ولم يُنسب إلى أي إله بشكل مؤكد.,30,"Open excavated ruins on uneven ground with low walls and steps; not wheelchair accessible, though the Colonnaded Street alongside it is level.",https://commons.wikimedia.org/wiki/Special:FilePath/Great_Temple%2C_Petra%2C_Jordan5.jpg,CC BY-SA 3.0,"Photo by Diego Delso, CC BY-SA 3.0, via Wikimedia Commons",
PET-DJN,landmark,PET,Djinn Blocks,كتل الجن,yes,30.3221541,35.4642445,C,https://www.openstreetmap.org/node/2437205273 | https://en.wikipedia.org/wiki/Petra | https://en.wikipedia.org/wiki/Nabataeans,needs_name_ar,,"A group of massive freestanding stone cubes standing beside the approach road before the Siq. They were made by cutting away the surrounding rock to leave a solid block, the technique the Nabataeans used for the featureless god-blocks that represented their deities before Greek and Roman influence made those gods human-figured. Whether these particular blocks were tombs, god-blocks or something else is still debated.",مجموعة من المكعبات الحجرية الضخمة القائمة بذاتها على جانب الطريق المؤدي إلى السيق. نُحتت بإزالة الصخر المحيط بها حتى تبقى كتلة صلبة، وهي التقنية التي استخدمها الأنباط في نحت الكتل الإلهية عديمة الملامح التي كانت تمثل آلهتهم قبل أن يجعل التأثير اليوناني والروماني تلك الآلهة على هيئة بشرية. ولا يزال الجدل قائماً حول ما إذا كانت هذه الكتل بالتحديد مقابر أم كتلاً إلهية أم شيئاً آخر.,10,"Immediately beside the flat, graded main approach path; visible and reachable without leaving it, so accessible to most visitors.",https://commons.wikimedia.org/wiki/Special:FilePath/Petra-Djinn-Bloecke-04-2010-gje.jpg,CC BY-SA 4.0,"Photo by Gerd Eichmann, CC BY-SA 4.0, via Wikimedia Commons",
PET-KHB,landmark,PET,Al-Khubtha High Place & Trail,جبل الخبثة,yes,30.333333,35.466667,C,https://www.openstreetmap.org/node/802551326 | https://en.wikivoyage.org/wiki/Petra,,No text source and no image whose filename identifies the subject. The trail is well known to visitors but poorly documented in citable sources - try visitpetra.jo. the file is confirmed to exist via the Commons API. Re-run validate_data.py --check-images to confirm.; AR pass: 'جبل خبثة' -> 'جبل الخبثة' to match 'منحدر الخبثة' used in Group B's PET-SLK.,"A high place on Jebel al-Khubtha reached by a stepped trail up from the Royal Tombs, climbed for the view down onto the Treasury from above rather than for anything built at the top. It is one of the main walking routes in Petra, typically one to three hours round trip, and is often combined with an entry through Wadi al-Mudhlim to make a second day in the site.",مرتفع في جبل الخبثة يُصعد إليه بمسار مدرَّج يبدأ من المدافن الملكية، ويُقصد من أجل الإطلالة على الخزنة من الأعلى لا من أجل بناء قائم في قمته. وهو من أبرز مسارات المشي في البتراء، وتستغرق الجولة عادة من ساعة إلى ثلاث ساعات ذهاباً وإياباً، وكثيراً ما يُدمج مع الدخول عبر وادي المذلم ليشكّل يوماً ثانياً في الموقع.,120,"A long stepped climb on an exposed unpaved trail with drops at the viewpoint; not accessible for reduced mobility, and shade is limited. Not recommended in the middle of the day in summer.",https://commons.wikimedia.org/wiki/Special:FilePath/View_point_at_Jabal_al-Khubtha_01.jpg,CC BY-SA 4.0,"Photo by Davide Mauro, CC BY-SA 4.0, via Wikimedia Commons",
PET-LTC,landmark,PET,Lion Triclinium,تريكلينيوم الأسد,yes,30.335035,35.4386386,C,https://www.openstreetmap.org/node/2528846741 | https://commons.wikimedia.org/wiki/File%3ALion_Triclinium_Petra_Jordan1451.jpg,needs_name_ar,"No text source found beyond the name. A licensed image was found, so only the prose is missing. Try Nabataean funerary-architecture literature. the file is confirmed to exist via the Commons API. Re-run validate_data.py --check-images to confirm.; Description drawn from the Commons file-page description; Arabic name is a transliteration-based rendering, not an attested official name - flag for the Arabic pass.","A rock-cut triclinium — a chamber for commemorative funerary meals — on a short side branch off the path up to Ad-Deir. Two lions carved in relief face each other on either side of the doorway, which has an unusual keyhole shape, and the metopes of the frieze above are decorated with raised rings, with a carved face at each end.",تريكلينيوم منحوت في الصخر، أي قاعة كانت تُقام فيها المآدب الجنائزية التذكارية، يقع على تفرّع قصير من الدرب الصاعد إلى الدير. ويتقابل أسدان منحوتان بالنقش البارز على جانبي المدخل الذي يتخذ شكلاً غير مألوف يشبه ثقب المفتاح، وتزيّن حنايا الإفريز أعلاه حلقات بارزة، مع وجه منحوت في كل طرف منه.,15,On a side branch of the stepped Ad-Deir climb; reached only on foot up uneven rock steps and not accessible for reduced mobility.,https://commons.wikimedia.org/wiki/Special:FilePath/The_Lion_Triclinium_%28Petra%29_02.jpg,CC BY-SA 4.0,"Photo by Davide Mauro, CC BY-SA 4.0, via Wikimedia Commons",
